Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,107.24167,0.072350815,44.39395,2024-11-10 18:34:43.531853,DQN
1,106.16852,0.072350815,36.93980,2024-11-10 18:34:43.531853,DQN
2,-0.47278,0.072350815,33.93080,2024-11-10 18:34:43.531853,DQN
3,30.72585,128.36713,30.61122,2024-11-10 18:34:43.531853,DQN
4,82.42133,401.06714,41.16251,2024-11-10 18:34:43.531853,DQN
5,-53.62002,1015.5682,38.71435,2024-11-10 18:34:43.531853,DQN
6,568.87447,13869.609,53.82575,2024-11-10 18:34:43.531853,DQN
7,82.62840,597781.75,21.64279,2024-11-10 18:34:43.531853,DQN
8,203.81769,1478274.0,61.79276,2024-11-10 18:34:43.531853,DQN
9,70.23068,3079841.0,27.54591,2024-11-10 18:34:43.531853,DQN
10,34.69693,4487758.5,35.22747,2024-11-10 18:34:43.531853,DQN
11,65.85918,5078302.5,13.99470,2024-11-10 18:34:43.531853,DQN
12,205.24167,5736901.0,41.19239,2024-11-10 18:34:43.531853,DQN
13,205.24167,5857186.0,32.68977,2024-11-10 18:34:43.531853,DQN
14,74.85918,6136500.5,61.52852,2024-11-10 18:34:43.531853,DQN
15,-98.32896,7229545.0,36.20718,2024-11-10 18:34:43.531853,DQN
16,-58.06433,10464377.0,4.99577,2024-11-10 18:34:43.531853,DQN
17,43.13542,14966188.0,66.83588,2024-11-10 18:34:43.531853,DQN
18,-193.31674,24516104.0,51.33070,2024-11-10 18:34:43.531853,DQN
19,147.24167,41667390.0,39.95660,2024-11-10 18:34:43.531853,DQN
20,-193.91332,51407296.0,13.11551,2024-11-10 18:34:43.531853,DQN
21,-150.68512,67532780.0,41.23751,2024-11-10 18:34:43.531853,DQN
22,205.24167,83948584.0,27.93605,2024-11-10 18:34:43.531853,DQN
23,-81.42865,93158910.0,11.63337,2024-11-10 18:34:43.531853,DQN
24,-261.94533,107751660.0,10.44521,2024-11-10 18:34:43.531853,DQN
25,-237.93933,134487760.0,56.96382,2024-11-10 18:34:43.531853,DQN
26,-94.74793,176257660.0,53.17769,2024-11-10 18:34:43.531853,DQN
27,-243.29853,198853090.0,31.37417,2024-11-10 18:34:43.531853,DQN
28,138.08669,222577010.0,38.40919,2024-11-10 18:34:43.531853,DQN
29,75.26166,239827440.0,41.79111,2024-11-10 18:34:43.531853,DQN
30,-63.09503,252678780.0,37.47105,2024-11-10 18:34:43.531853,DQN
31,118.24167,276950660.0,31.96860,2024-11-10 18:34:43.531853,DQN
32,-103.17376,293360640.0,29.50739,2024-11-10 18:34:43.531853,DQN
33,158.96254,307521020.0,33.39234,2024-11-10 18:34:43.531853,DQN
34,-259.19545,322530300.0,32.53853,2024-11-10 18:34:43.531853,DQN
35,-66.41082,345326430.0,14.08364,2024-11-10 18:34:43.531853,DQN
36,-244.84413,351346800.0,31.87378,2024-11-10 18:34:43.531853,DQN
37,-96.55727,378673730.0,26.99694,2024-11-10 18:34:43.531853,DQN
38,20.04052,409055100.0,36.65410,2024-11-10 18:34:43.531853,DQN
39,34.89034,419354100.0,20.60661,2024-11-10 18:34:43.531853,DQN
40,-192.15501,416383420.0,33.03178,2024-11-10 18:34:43.531853,DQN
41,205.24167,423588700.0,18.85487,2024-11-10 18:34:43.531853,DQN
42,-145.45237,435184770.0,10.34478,2024-11-10 18:34:43.531853,DQN
43,119.24167,474138800.0,-3.58391,2024-11-10 18:34:43.531853,DQN
44,-53.42974,485757730.0,36.32953,2024-11-10 18:34:43.531853,DQN
45,147.24167,524247800.0,41.50091,2024-11-10 18:34:43.531853,DQN
46,-103.57848,528404900.0,17.15334,2024-11-10 18:34:43.531853,DQN
47,78.15668,549194900.0,46.45173,2024-11-10 18:34:43.531853,DQN
48,147.24167,559861760.0,41.29502,2024-11-10 18:34:43.531853,DQN
49,112.49807,564727550.0,32.03437,2024-11-10 18:34:43.531853,DQN
50,-265.52811,585735100.0,3.94649,2024-11-10 18:34:43.531853,DQN
51,204.24167,598024900.0,52.48935,2024-11-10 18:34:43.531853,DQN
52,-214.04683,601377400.0,35.43417,2024-11-10 18:34:43.531853,DQN
53,31.78279,637454200.0,12.35007,2024-11-10 18:34:43.531853,DQN
54,-16.92500,644464450.0,24.96811,2024-11-10 18:34:43.531853,DQN
55,9.93772,649157500.0,-3.67976,2024-11-10 18:34:43.531853,DQN
