Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,333.72517,0.06899229,76.73228,2025-02-09 15:04:12.973462,full_game_baseline
1,-3.69411,0.06899229,40.65526,2025-02-09 15:04:12.973462,full_game_baseline
2,76.13511,91.45485,43.27056,2025-02-09 15:04:12.973462,full_game_baseline
3,118.24167,175.63528,19.65920,2025-02-09 15:04:12.973462,full_game_baseline
4,79.02140,178.00851,34.33148,2025-02-09 15:04:12.973462,full_game_baseline
5,-162.55610,179.64348,43.62018,2025-02-09 15:04:12.973462,full_game_baseline
6,-229.86153,187.68294,46.41273,2025-02-09 15:04:12.973462,full_game_baseline
7,205.24167,200.90263,46.35469,2025-02-09 15:04:12.973462,full_game_baseline
8,-129.32448,201.72302,38.77053,2025-02-09 15:04:12.973462,full_game_baseline
9,147.24167,230.38974,40.27041,2025-02-09 15:04:12.973462,full_game_baseline
10,205.24167,244.51276,39.30953,2025-02-09 15:04:12.973462,full_game_baseline
11,205.24167,230.1984,29.58524,2025-02-09 15:04:12.973462,full_game_baseline
12,-202.46381,240.50075,32.68830,2025-02-09 15:04:12.973462,full_game_baseline
13,176.24167,226.77054,44.54723,2025-02-09 15:04:12.973462,full_game_baseline
14,-24.00720,223.2717,60.69576,2025-02-09 15:04:12.973462,full_game_baseline
15,205.24167,233.63303,42.84158,2025-02-09 15:04:12.973462,full_game_baseline
16,165.24167,227.70853,60.45923,2025-02-09 15:04:12.973462,full_game_baseline
17,-246.14503,234.66881,15.43655,2025-02-09 15:04:12.973462,full_game_baseline
18,204.24167,230.22874,56.36275,2025-02-09 15:04:12.973462,full_game_baseline
19,74.41808,245.7506,41.23245,2025-02-09 15:04:12.973462,full_game_baseline
20,-20.96431,258.9337,17.49803,2025-02-09 15:04:12.973462,full_game_baseline
21,-168.63396,241.54897,28.92850,2025-02-09 15:04:12.973462,full_game_baseline
22,-40.18141,253.91914,18.25226,2025-02-09 15:04:12.973462,full_game_baseline
23,-67.41082,297.3113,44.22486,2025-02-09 15:04:12.973462,full_game_baseline
24,-140.08668,273.27112,26.53067,2025-02-09 15:04:12.973462,full_game_baseline
25,116.53866,267.18588,48.48872,2025-02-09 15:04:12.973462,full_game_baseline
26,176.24167,264.61157,28.95732,2025-02-09 15:04:12.973462,full_game_baseline
27,205.24167,272.01007,30.55742,2025-02-09 15:04:12.973462,full_game_baseline
