Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,94.32180,0.08933668,47.59162,2025-02-15 22:30:22.804538,full_game_heuristic
1,205.24167,0.08933668,43.87547,2025-02-15 22:30:22.804538,full_game_heuristic
2,-120.22180,0.08933668,29.05800,2025-02-15 22:30:22.804538,full_game_heuristic
3,129.20867,214.6223,77.53327,2025-02-15 22:30:22.804538,full_game_heuristic
4,205.24167,223.45891,26.88804,2025-02-15 22:30:22.804538,full_game_heuristic
5,205.24167,230.23856,13.06646,2025-02-15 22:30:22.804538,full_game_heuristic
6,-116.48666,214.0529,32.09663,2025-02-15 22:30:22.804538,full_game_heuristic
7,-27.59013,226.80774,55.80558,2025-02-15 22:30:22.804538,full_game_heuristic
8,108.74168,222.54378,36.95538,2025-02-15 22:30:22.804538,full_game_heuristic
9,185.55129,233.77873,48.68261,2025-02-15 22:30:22.804538,full_game_heuristic
10,-38.67734,235.4481,41.69568,2025-02-15 22:30:22.804538,full_game_heuristic
11,-63.31177,250.78511,42.19249,2025-02-15 22:30:22.804538,full_game_heuristic
12,-82.51524,254.81346,43.41051,2025-02-15 22:30:22.804538,full_game_heuristic
13,-66.41082,263.23666,22.04807,2025-02-15 22:30:22.804538,full_game_heuristic
14,176.24167,261.74286,41.51850,2025-02-15 22:30:22.804538,full_game_heuristic
15,162.99305,277.64322,64.49544,2025-02-15 22:30:22.804538,full_game_heuristic
16,-36.34727,276.703,53.71005,2025-02-15 22:30:22.804538,full_game_heuristic
17,-261.89813,292.02142,36.20669,2025-02-15 22:30:22.804538,full_game_heuristic
18,134.27324,284.45898,53.97549,2025-02-15 22:30:22.804538,full_game_heuristic
19,-108.91315,283.90683,32.01431,2025-02-15 22:30:22.804538,full_game_heuristic
20,-69.87097,291.30524,54.40885,2025-02-15 22:30:22.804538,full_game_heuristic
21,99.84691,283.4923,56.61903,2025-02-15 22:30:22.804538,full_game_heuristic
22,-171.44492,294.7943,48.96898,2025-02-15 22:30:22.804538,full_game_heuristic
23,-66.41082,291.0794,15.03295,2025-02-15 22:30:22.804538,full_game_heuristic
24,-64.70009,290.4888,43.48378,2025-02-15 22:30:22.804538,full_game_heuristic
25,21.88352,298.86975,77.36983,2025-02-15 22:30:22.804538,full_game_heuristic
26,-190.65329,305.2692,46.54132,2025-02-15 22:30:22.804538,full_game_heuristic
27,205.24167,298.6326,18.62671,2025-02-15 22:30:22.804538,full_game_heuristic
28,-211.69452,304.007,47.16533,2025-02-15 22:30:22.804538,full_game_heuristic
29,165.24167,303.0734,34.08400,2025-02-15 22:30:22.804538,full_game_heuristic
30,-140.28740,305.30194,40.25675,2025-02-15 22:30:22.804538,full_game_heuristic
31,133.25212,303.8771,46.77023,2025-02-15 22:30:22.804538,full_game_heuristic
32,30.72585,313.61273,14.85243,2025-02-15 22:30:22.804538,full_game_heuristic
33,176.24167,314.97174,57.22523,2025-02-15 22:30:22.804538,full_game_heuristic
34,-219.75389,312.28723,32.85172,2025-02-15 22:30:22.804538,full_game_heuristic
35,33.87023,317.16544,50.56743,2025-02-15 22:30:22.804538,full_game_heuristic
36,58.81077,326.4393,31.37259,2025-02-15 22:30:22.804538,full_game_heuristic
37,-11.99659,330.12402,35.04254,2025-02-15 22:30:22.804538,full_game_heuristic
38,144.73218,320.40347,20.46229,2025-02-15 22:30:22.804538,full_game_heuristic
39,205.24167,315.02826,42.84158,2025-02-15 22:30:22.804538,full_game_heuristic
