Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,43.91658,0.082332574,46.16001,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
1,-221.01360,14.224886,33.67104,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
2,204.24167,179.75772,51.63816,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
3,205.24167,209.2545,39.35996,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
4,205.24167,198.78027,19.70837,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
5,-10.43232,208.0219,34.22697,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
6,176.24167,214.54755,42.54796,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
7,-44.68733,223.43297,54.81683,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
8,11.24328,256.3416,45.16175,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
9,-18.58939,244.08879,61.30728,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
10,512.83168,268.10745,92.62014,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
11,-253.49215,265.8965,64.88345,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
12,176.24167,284.88974,45.47374,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
13,205.24167,284.58972,27.42397,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
14,188.84314,299.0605,55.09264,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
15,-11.51380,288.0527,50.64542,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
16,68.09795,284.72366,11.37737,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
17,183.44397,289.7683,38.45997,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
18,205.24167,299.67484,32.97220,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
19,-263.88653,287.7719,30.21179,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
20,-116.00987,294.93948,43.69742,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
21,26.52294,290.89343,34.25563,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
22,-161.03160,300.44852,38.73229,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
23,-199.05098,296.96353,2.83655,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
24,121.86862,299.2524,48.00787,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
25,-259.96953,298.40723,15.71517,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
26,27.88400,296.70837,37.12577,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
27,205.24167,290.33325,41.19239,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
28,-111.20498,302.27,20.85303,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
29,22.13902,305.9388,65.07015,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
30,428.80881,300.57007,65.85058,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
31,3.52410,295.58328,35.09295,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
32,205.24167,300.84592,40.77211,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
33,-256.25077,296.6372,47.07190,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
34,240.41939,289.54102,65.99702,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
35,-194.14461,294.11566,35.33921,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
36,176.24167,277.54047,42.54796,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
37,-19.48495,297.4779,33.23901,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
38,205.24167,290.91525,42.84158,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
39,-176.52084,287.45132,54.31075,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
40,-191.37814,271.65973,46.51020,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
41,149.06784,264.67447,49.96723,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
42,74.35276,272.21957,37.93015,2025-02-07 19:01:49.356347,Kanpsack_DoubleDQN
