Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,176.24167,0.06654839,43.47447,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
1,-234.51300,0.06654839,65.62193,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
2,84.21570,0.06654839,35.83661,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
3,-71.78903,186.54099,49.48215,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
4,204.24167,197.93571,51.49803,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
5,75.85918,202.981,30.04618,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
6,-19.13511,213.53421,56.65034,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
7,60.17275,234.56071,42.42672,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
8,191.35391,234.1839,48.20321,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
9,5.08867,238.08087,73.23762,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
10,-145.83074,259.0187,23.05688,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
11,205.24167,265.7864,43.56166,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
12,-9.63358,281.20963,37.69876,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
13,-113.60619,279.67975,59.62130,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
14,147.24167,274.30157,40.29865,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
15,-110.04263,319.41446,46.07868,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
16,30.20205,312.84338,42.91933,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
17,205.24167,299.82108,46.35469,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
18,101.11738,300.05872,51.15428,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
19,79.99130,294.5476,35.50381,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
20,205.24167,284.54492,41.19239,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
21,35.94338,282.8276,48.97469,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
22,153.47500,301.13925,53.33307,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
23,205.24167,296.14108,34.00165,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
24,-165.14225,298.321,38.03090,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
25,-225.34957,301.14426,49.42459,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
26,-112.78769,309.32468,51.02922,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
27,147.24167,319.36023,15.72949,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
28,147.24167,277.41925,42.78876,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
29,-220.61941,295.46863,37.30517,2025-02-08 16:50:06.920299,Knapsack_DoubleDQN
