Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-188.07606,0.17676,24.62436,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
1,205.24167,0.17674,27.42397,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
2,138.24445,0.17512,47.27403,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
3,205.24167,0.16436,31.20550,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
4,205.24167,0.15509,42.84158,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
5,-152.74427,0.14344,47.09900,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
6,-56.02434,0.10493,51.88959,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
7,-194.62169,0.05327,21.09469,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
8,-55.96658,-0.02128,48.99620,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
9,-63.34855,-0.05907,32.30985,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
10,176.24167,-0.12355,44.44574,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
11,-152.38522,-0.16383,49.39027,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
12,218.65703,-0.29558,49.18266,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
13,-116.64667,-0.48507,6.72033,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
14,228.48445,-0.68874,79.70689,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
15,81.73322,-0.96202,35.70763,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
16,165.24167,-2.25348,36.15149,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
17,-116.30704,-2.52029,60.84621,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
18,204.24167,-3.45351,76.05977,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
19,130.31737,-3.77012,59.89634,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
20,-11.62193,-4.38869,30.99631,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
21,204.24167,-5.27095,45.92883,2025-05-02 11:38:50.449619,DoubleDQN_16_CPU
