Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,118.24167,0.07150,24.09094,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
1,112.45773,0.07150,61.05425,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
2,-2.23620,0.07150,57.58980,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
3,-112.69453,0.06611,34.25431,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
4,-57.81248,0.05615,76.25742,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
5,78.51977,0.04661,39.92246,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
6,-65.72184,0.02553,30.46229,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
7,94.04193,-0.01770,58.16709,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
8,12.07041,-0.05469,44.89432,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
9,-12.64361,-0.09192,51.28137,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
10,-210.06165,-0.13624,5.78821,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
11,205.24167,-0.21436,42.60454,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
12,176.24167,-0.25349,41.06369,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
13,30.72585,-0.30244,13.55553,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
14,-41.45581,-0.38679,58.45186,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
15,-167.77858,-0.67630,39.22521,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
16,118.24167,-1.18925,13.21635,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
17,-56.87935,-1.39813,65.00071,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
18,147.24167,-2.42038,28.24337,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
19,24.85152,-2.70906,51.57758,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
20,205.24167,-3.32288,45.52466,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
21,-57.51893,-3.60869,75.79520,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
22,205.24167,-4.22075,28.65473,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
23,71.24229,-4.57430,41.70629,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
24,-114.12541,-6.04844,50.74642,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
25,-197.54411,-7.04536,52.87931,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
26,204.24167,-8.27557,54.86582,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
27,12.42944,-8.76105,56.72523,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
28,176.24167,-9.79706,42.54796,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
29,-17.20171,-10.31547,49.83228,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
30,-231.94054,-11.44401,35.56482,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
31,176.24167,-12.80242,42.54796,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
32,147.24167,-13.36994,40.29865,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
33,147.24167,-13.99211,31.08155,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
34,-248.16403,-14.65735,44.50688,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
35,138.08154,-16.09207,46.15449,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
36,46.66555,-17.65551,43.75671,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
37,205.24167,-19.80160,23.69767,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
38,110.24994,-20.36784,53.39454,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
39,205.24167,-21.63983,33.71922,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
40,147.24167,-22.28319,39.46479,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
41,-191.67949,-22.97110,58.16901,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
42,205.24167,-25.27089,29.07315,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
43,-63.55495,-25.91798,32.82657,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
44,-84.21133,-27.32849,5.73760,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
45,205.24167,-28.86502,30.34409,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
46,-66.41082,-29.48423,26.40844,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
47,1.11277,-30.64039,61.56242,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
48,-77.09074,-32.37538,55.04430,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
49,75.85918,-37.58232,19.54694,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
50,184.66611,-38.18478,58.60284,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
51,-232.64054,-39.32337,33.97224,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
52,176.24167,-40.10571,44.05660,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
53,176.24167,-40.38914,28.41589,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
54,204.24167,-40.71308,53.92540,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
55,-186.77637,-41.03014,64.84971,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
56,176.24167,-41.71561,33.20343,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
57,-100.90833,-42.00559,32.68158,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
58,176.24167,-42.52575,27.46396,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
59,-194.15570,-42.59351,61.35158,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
60,204.24167,-43.04474,90.46317,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
61,205.24167,-43.24689,41.19239,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
62,165.90528,-43.46745,35.58017,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
63,131.15418,-44.04348,74.45401,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
64,130.88992,-44.44328,69.84035,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
65,-63.76647,-44.85802,59.10906,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
66,-150.51640,-45.34239,54.21654,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
67,165.24167,-45.98646,62.35430,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
68,205.24167,-46.24360,41.19239,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
69,-117.88224,-46.51629,36.81960,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
70,166.58049,-47.31486,50.68619,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
71,204.24167,-48.37854,71.51417,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
72,-235.79041,-48.62099,35.06304,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
73,205.24167,-49.28746,28.86285,2025-05-01 15:36:46.090495,DoubleDQN_16_CUDA
