Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-113.02150,0.04027126,37.23601,2025-03-15 16:53:43.101152,DoubleDQN_2048
1,205.24167,0.04027126,35.20983,2025-03-15 16:53:43.101152,DoubleDQN_2048
2,205.24167,0.04027126,43.87547,2025-03-15 16:53:43.101152,DoubleDQN_2048
3,205.24167,204.80923,30.27499,2025-03-15 16:53:43.101152,DoubleDQN_2048
4,-239.12133,212.67953,33.75623,2025-03-15 16:53:43.101152,DoubleDQN_2048
5,-26.25563,235.37737,23.87800,2025-03-15 16:53:43.101152,DoubleDQN_2048
6,119.24167,221.92519,-1.39663,2025-03-15 16:53:43.101152,DoubleDQN_2048
7,147.24167,228.86581,28.29935,2025-03-15 16:53:43.101152,DoubleDQN_2048
8,118.24167,229.50748,23.82043,2025-03-15 16:53:43.101152,DoubleDQN_2048
9,-158.56239,224.31174,51.80565,2025-03-15 16:53:43.101152,DoubleDQN_2048
10,-266.54220,222.66371,49.58068,2025-03-15 16:53:43.101152,DoubleDQN_2048
11,-200.12965,232.23863,49.81496,2025-03-15 16:53:43.101152,DoubleDQN_2048
12,205.24167,235.09776,40.87858,2025-03-15 16:53:43.101152,DoubleDQN_2048
13,205.24167,234.16504,41.19239,2025-03-15 16:53:43.101152,DoubleDQN_2048
14,-235.70064,248.93929,57.83660,2025-03-15 16:53:43.101152,DoubleDQN_2048
15,-233.41636,234.77611,30.03245,2025-03-15 16:53:43.101152,DoubleDQN_2048
16,118.24167,224.23859,31.38708,2025-03-15 16:53:43.101152,DoubleDQN_2048
17,204.24167,195.14624,50.74596,2025-03-15 16:53:43.101152,DoubleDQN_2048
18,205.24167,215.86406,48.86842,2025-03-15 16:53:43.101152,DoubleDQN_2048
19,149.09091,217.7068,30.94583,2025-03-15 16:53:43.101152,DoubleDQN_2048
20,204.24167,224.31696,53.38155,2025-03-15 16:53:43.101152,DoubleDQN_2048
21,-30.29573,222.59492,73.39789,2025-03-15 16:53:43.101152,DoubleDQN_2048
22,73.61435,227.3369,57.30113,2025-03-15 16:53:43.101152,DoubleDQN_2048
23,-39.19731,223.70428,42.46009,2025-03-15 16:53:43.101152,DoubleDQN_2048
24,-247.01345,242.8344,27.64511,2025-03-15 16:53:43.101152,DoubleDQN_2048
25,94.50690,244.47183,59.58276,2025-03-15 16:53:43.101152,DoubleDQN_2048
26,165.24167,215.68944,55.59915,2025-03-15 16:53:43.101152,DoubleDQN_2048
27,165.33696,223.37024,63.69591,2025-03-15 16:53:43.101152,DoubleDQN_2048
28,106.37634,237.76392,42.98827,2025-03-15 16:53:43.101152,DoubleDQN_2048
29,-166.93000,250.3627,-1.86010,2025-03-15 16:53:43.101152,DoubleDQN_2048
30,205.24167,272.1058,43.87547,2025-03-15 16:53:43.101152,DoubleDQN_2048
31,-100.10355,253.7451,59.75146,2025-03-15 16:53:43.101152,DoubleDQN_2048
32,118.24167,248.15515,33.16320,2025-03-15 16:53:43.101152,DoubleDQN_2048
33,-204.48274,232.02264,32.85466,2025-03-15 16:53:43.101152,DoubleDQN_2048
34,-29.19641,240.77556,42.49234,2025-03-15 16:53:43.101152,DoubleDQN_2048
35,-223.89333,243.73178,46.31622,2025-03-15 16:53:43.101152,DoubleDQN_2048
36,-79.99490,235.18109,61.82757,2025-03-15 16:53:43.101152,DoubleDQN_2048
37,-16.92500,240.0789,6.31001,2025-03-15 16:53:43.101152,DoubleDQN_2048
38,46.44094,260.3486,53.48639,2025-03-15 16:53:43.101152,DoubleDQN_2048
39,204.24167,225.44077,53.38155,2025-03-15 16:53:43.101152,DoubleDQN_2048
40,-250.94879,216.0307,39.18132,2025-03-15 16:53:43.101152,DoubleDQN_2048
41,-93.21796,229.20404,49.44532,2025-03-15 16:53:43.101152,DoubleDQN_2048
42,-164.13172,225.18675,53.75286,2025-03-15 16:53:43.101152,DoubleDQN_2048
43,86.50302,207.55852,48.83578,2025-03-15 16:53:43.101152,DoubleDQN_2048
44,-164.74808,209.71579,44.79864,2025-03-15 16:53:43.101152,DoubleDQN_2048
45,147.24167,187.51532,44.98961,2025-03-15 16:53:43.101152,DoubleDQN_2048
46,61.42296,191.87387,56.66231,2025-03-15 16:53:43.101152,DoubleDQN_2048
47,-58.44709,195.09909,47.50952,2025-03-15 16:53:43.101152,DoubleDQN_2048
48,81.74912,194.11874,48.45846,2025-03-15 16:53:43.101152,DoubleDQN_2048
49,205.24167,197.40929,28.41247,2025-03-15 16:53:43.101152,DoubleDQN_2048
50,53.56611,192.08112,41.59291,2025-03-15 16:53:43.101152,DoubleDQN_2048
51,-62.28730,183.18362,51.52462,2025-03-15 16:53:43.101152,DoubleDQN_2048
52,-233.60713,188.56253,2.95722,2025-03-15 16:53:43.101152,DoubleDQN_2048
53,-132.87950,180.33704,62.99080,2025-03-15 16:53:43.101152,DoubleDQN_2048
54,-182.78805,170.76097,41.75124,2025-03-15 16:53:43.101152,DoubleDQN_2048
55,176.24167,168.06252,42.23415,2025-03-15 16:53:43.101152,DoubleDQN_2048
56,-199.17963,158.66792,41.67168,2025-03-15 16:53:43.101152,DoubleDQN_2048
57,-1.84808,124.998604,44.97506,2025-03-15 16:53:43.101152,DoubleDQN_2048
58,1.92879,116.814186,51.85799,2025-03-15 16:53:43.101152,DoubleDQN_2048
59,13.29222,106.167534,61.23968,2025-03-15 16:53:43.101152,DoubleDQN_2048
60,150.89782,93.11932,57.01906,2025-03-15 16:53:43.101152,DoubleDQN_2048
61,-247.52475,90.72862,37.27152,2025-03-15 16:53:43.101152,DoubleDQN_2048
62,13.21095,103.812164,55.12448,2025-03-15 16:53:43.101152,DoubleDQN_2048
63,205.24167,64.16913,31.48793,2025-03-15 16:53:43.101152,DoubleDQN_2048
64,205.24167,70.21222,41.19239,2025-03-15 16:53:43.101152,DoubleDQN_2048
65,205.24167,57.807606,26.88804,2025-03-15 16:53:43.101152,DoubleDQN_2048
66,301.10386,65.87025,59.53178,2025-03-15 16:53:43.101152,DoubleDQN_2048
67,205.24167,77.63385,30.34409,2025-03-15 16:53:43.101152,DoubleDQN_2048
68,103.79140,77.79784,42.14573,2025-03-15 16:53:43.101152,DoubleDQN_2048
69,30.45736,74.98449,54.73081,2025-03-15 16:53:43.101152,DoubleDQN_2048
70,205.24167,67.69629,31.48793,2025-03-15 16:53:43.101152,DoubleDQN_2048
71,-89.59956,68.72427,34.87299,2025-03-15 16:53:43.101152,DoubleDQN_2048
72,119.48811,63.83703,73.47024,2025-03-15 16:53:43.101152,DoubleDQN_2048
73,205.24167,62.993725,37.01012,2025-03-15 16:53:43.101152,DoubleDQN_2048
74,98.04313,64.95844,54.37488,2025-03-15 16:53:43.101152,DoubleDQN_2048
75,-60.66171,47.874016,47.85984,2025-03-15 16:53:43.101152,DoubleDQN_2048
76,176.24167,69.0768,33.07975,2025-03-15 16:53:43.101152,DoubleDQN_2048
77,234.03598,50.863277,46.72059,2025-03-15 16:53:43.101152,DoubleDQN_2048
78,107.24167,55.331726,54.05601,2025-03-15 16:53:43.101152,DoubleDQN_2048
79,-251.55733,65.598526,26.18423,2025-03-15 16:53:43.101152,DoubleDQN_2048
80,-49.01078,56.55641,54.90154,2025-03-15 16:53:43.101152,DoubleDQN_2048
81,-126.39590,62.106426,37.22647,2025-03-15 16:53:43.101152,DoubleDQN_2048
82,-16.92500,58.682095,23.69233,2025-03-15 16:53:43.101152,DoubleDQN_2048
83,-206.37083,71.50237,6.30477,2025-03-15 16:53:43.101152,DoubleDQN_2048
84,12.46507,65.6416,52.80482,2025-03-15 16:53:43.101152,DoubleDQN_2048
85,176.24167,60.430225,44.07317,2025-03-15 16:53:43.101152,DoubleDQN_2048
86,-114.02019,59.215744,36.75136,2025-03-15 16:53:43.101152,DoubleDQN_2048
87,205.24167,69.37427,32.09896,2025-03-15 16:53:43.101152,DoubleDQN_2048
88,23.60963,70.25783,52.91451,2025-03-15 16:53:43.101152,DoubleDQN_2048
89,-91.93186,77.40601,88.84288,2025-03-15 16:53:43.101152,DoubleDQN_2048
90,285.09664,83.11716,60.04338,2025-03-15 16:53:43.101152,DoubleDQN_2048
91,160.99684,81.535995,40.25859,2025-03-15 16:53:43.101152,DoubleDQN_2048
92,23.98390,69.17222,26.68950,2025-03-15 16:53:43.101152,DoubleDQN_2048
93,44.58143,71.83237,68.12571,2025-03-15 16:53:43.101152,DoubleDQN_2048
94,-34.70184,75.20352,42.60611,2025-03-15 16:53:43.101152,DoubleDQN_2048
95,204.24167,69.368576,55.66879,2025-03-15 16:53:43.101152,DoubleDQN_2048
96,205.24167,71.478745,46.66850,2025-03-15 16:53:43.101152,DoubleDQN_2048
97,147.24167,73.045,28.08349,2025-03-15 16:53:43.101152,DoubleDQN_2048
98,28.25998,75.0564,62.23392,2025-03-15 16:53:43.101152,DoubleDQN_2048
99,205.24167,77.10812,41.19239,2025-03-15 16:53:43.101152,DoubleDQN_2048
100,-19.37801,71.04269,84.42873,2025-03-15 16:53:43.101152,DoubleDQN_2048
101,176.24167,77.19604,31.15244,2025-03-15 16:53:43.101152,DoubleDQN_2048
102,63.61391,75.67013,42.13747,2025-03-15 16:53:43.101152,DoubleDQN_2048
103,-100.13734,70.14912,60.28372,2025-03-15 16:53:43.101152,DoubleDQN_2048
104,36.80182,67.69854,54.01963,2025-03-15 16:53:43.101152,DoubleDQN_2048
105,176.24167,69.57819,44.81031,2025-03-15 16:53:43.101152,DoubleDQN_2048
106,13.66606,70.17903,66.06953,2025-03-15 16:53:43.101152,DoubleDQN_2048
107,-71.09270,68.30259,47.56743,2025-03-15 16:53:43.101152,DoubleDQN_2048
108,205.24167,66.4415,31.48793,2025-03-15 16:53:43.101152,DoubleDQN_2048
109,184.78963,74.65608,49.14827,2025-03-15 16:53:43.101152,DoubleDQN_2048
110,205.24167,79.247696,41.72923,2025-03-15 16:53:43.101152,DoubleDQN_2048
111,-79.83916,79.43686,43.09871,2025-03-15 16:53:43.101152,DoubleDQN_2048
112,205.24167,79.5378,46.66850,2025-03-15 16:53:43.101152,DoubleDQN_2048
113,205.24167,81.94338,29.07315,2025-03-15 16:53:43.101152,DoubleDQN_2048
114,-154.77843,77.46893,42.92235,2025-03-15 16:53:43.101152,DoubleDQN_2048
115,62.42507,82.18659,59.46451,2025-03-15 16:53:43.101152,DoubleDQN_2048
116,-13.34060,72.33304,85.16590,2025-03-15 16:53:43.101152,DoubleDQN_2048
117,-14.34183,74.450264,37.35913,2025-03-15 16:53:43.101152,DoubleDQN_2048
118,42.74537,74.27249,71.36822,2025-03-15 16:53:43.101152,DoubleDQN_2048
119,2.88729,74.32335,51.68993,2025-03-15 16:53:43.101152,DoubleDQN_2048
120,-253.12869,82.37047,48.26503,2025-03-15 16:53:43.101152,DoubleDQN_2048
121,31.93055,74.48462,52.28284,2025-03-15 16:53:43.101152,DoubleDQN_2048
122,54.83855,73.57258,41.20300,2025-03-15 16:53:43.101152,DoubleDQN_2048
123,113.54323,72.1353,39.19796,2025-03-15 16:53:43.101152,DoubleDQN_2048
124,-33.46121,67.270706,47.50385,2025-03-15 16:53:43.101152,DoubleDQN_2048
125,-8.56021,70.982925,52.39350,2025-03-15 16:53:43.101152,DoubleDQN_2048
126,11.42406,84.645905,44.85644,2025-03-15 16:53:43.101152,DoubleDQN_2048
127,89.76167,66.04118,48.65227,2025-03-15 16:53:43.101152,DoubleDQN_2048
128,176.24167,63.926563,37.64790,2025-03-15 16:53:43.101152,DoubleDQN_2048
129,45.83151,66.65844,56.12878,2025-03-15 16:53:43.101152,DoubleDQN_2048
130,-116.30845,68.52068,64.32885,2025-03-15 16:53:43.101152,DoubleDQN_2048
131,204.91801,81.92978,89.95666,2025-03-15 16:53:43.101152,DoubleDQN_2048
132,67.17362,80.57269,44.12779,2025-03-15 16:53:43.101152,DoubleDQN_2048
133,204.24167,71.01291,70.74310,2025-03-15 16:53:43.101152,DoubleDQN_2048
134,81.01163,72.54405,53.57028,2025-03-15 16:53:43.101152,DoubleDQN_2048
135,-132.72212,77.99145,58.40999,2025-03-15 16:53:43.101152,DoubleDQN_2048
136,176.24167,78.49058,42.54796,2025-03-15 16:53:43.101152,DoubleDQN_2048
137,35.18925,77.34324,24.72357,2025-03-15 16:53:43.101152,DoubleDQN_2048
138,-4.89735,76.37144,53.08776,2025-03-15 16:53:43.101152,DoubleDQN_2048
139,62.78850,73.74867,74.85338,2025-03-15 16:53:43.101152,DoubleDQN_2048
140,95.77765,71.83657,56.14909,2025-03-15 16:53:43.101152,DoubleDQN_2048
141,176.24167,73.424675,31.02367,2025-03-15 16:53:43.101152,DoubleDQN_2048
142,175.92671,72.337326,103.89920,2025-03-15 16:53:43.101152,DoubleDQN_2048
143,205.24167,75.20593,43.93992,2025-03-15 16:53:43.101152,DoubleDQN_2048
144,84.94416,72.03218,59.37774,2025-03-15 16:53:43.101152,DoubleDQN_2048
145,28.91483,74.53649,43.38341,2025-03-15 16:53:43.101152,DoubleDQN_2048
146,69.50942,73.52605,50.61738,2025-03-15 16:53:43.101152,DoubleDQN_2048
147,7.41049,77.88312,55.96290,2025-03-15 16:53:43.101152,DoubleDQN_2048
148,205.24167,74.93725,31.48793,2025-03-15 16:53:43.101152,DoubleDQN_2048
149,75.53922,69.981155,63.02475,2025-03-15 16:53:43.101152,DoubleDQN_2048
150,198.71443,68.43081,44.22786,2025-03-15 16:53:43.101152,DoubleDQN_2048
151,287.10011,69.5125,73.44747,2025-03-15 16:53:43.101152,DoubleDQN_2048
152,294.39015,59.930977,88.51935,2025-03-15 16:53:43.101152,DoubleDQN_2048
153,4.49568,56.25696,53.82751,2025-03-15 16:53:43.101152,DoubleDQN_2048
154,-87.16684,60.321186,100.71253,2025-03-15 16:53:43.101152,DoubleDQN_2048
155,18.19838,60.579533,45.90647,2025-03-15 16:53:43.101152,DoubleDQN_2048
156,90.38957,65.15455,64.95594,2025-03-15 16:53:43.101152,DoubleDQN_2048
157,-39.64777,61.536633,6.43460,2025-03-15 16:53:43.101152,DoubleDQN_2048
158,218.86192,64.088264,47.96926,2025-03-15 16:53:43.101152,DoubleDQN_2048
159,25.56402,59.38407,51.41295,2025-03-15 16:53:43.101152,DoubleDQN_2048
160,100.00938,60.165478,47.35245,2025-03-15 16:53:43.101152,DoubleDQN_2048
161,58.49934,59.799335,72.07182,2025-03-15 16:53:43.101152,DoubleDQN_2048
162,8.09774,54.159,59.33636,2025-03-15 16:53:43.101152,DoubleDQN_2048
163,-152.08008,57.299873,59.39311,2025-03-15 16:53:43.101152,DoubleDQN_2048
164,244.52873,56.509525,59.48148,2025-03-15 16:53:43.101152,DoubleDQN_2048
165,147.24167,56.64997,43.42394,2025-03-15 16:53:43.101152,DoubleDQN_2048
166,204.24167,59.479286,97.39737,2025-03-15 16:53:43.101152,DoubleDQN_2048
167,81.90315,50.00599,76.12334,2025-03-15 16:53:43.101152,DoubleDQN_2048
168,-84.34566,49.231117,44.86358,2025-03-15 16:53:43.101152,DoubleDQN_2048
169,84.64882,48.230343,58.29657,2025-03-15 16:53:43.101152,DoubleDQN_2048
170,183.87170,50.66556,47.41544,2025-03-15 16:53:43.101152,DoubleDQN_2048
171,-34.00284,56.188934,55.76012,2025-03-15 16:53:43.101152,DoubleDQN_2048
172,96.89952,51.5594,65.32216,2025-03-15 16:53:43.101152,DoubleDQN_2048
173,-236.00299,52.112286,98.50867,2025-03-15 16:53:43.101152,DoubleDQN_2048
174,154.49211,58.605362,62.81807,2025-03-15 16:53:43.101152,DoubleDQN_2048
175,10.58523,55.31972,42.73976,2025-03-15 16:53:43.101152,DoubleDQN_2048
176,13.87502,57.88424,57.64499,2025-03-15 16:53:43.101152,DoubleDQN_2048
177,131.94329,57.70025,95.72023,2025-03-15 16:53:43.101152,DoubleDQN_2048
