Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,176.24167,0.09441388,45.47374,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
1,176.24167,0.09441388,42.23415,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
2,-115.83789,0.09441388,37.73690,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
3,75.85918,30.27354,31.57844,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
4,14.24212,180.31853,33.34758,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
5,205.24167,194.97075,25.59154,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
6,118.24167,214.5055,19.62354,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
7,204.24167,215.78079,68.80600,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
8,205.24167,222.7141,39.35996,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
9,65.85918,222.3652,15.44993,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
10,215.30473,238.04852,51.42222,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
11,-28.88181,239.92105,29.60455,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
12,-43.97409,236.04887,53.66476,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
13,205.24167,239.87898,29.07315,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
14,1.75041,244.17723,47.04496,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
15,205.24167,246.32886,18.62671,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
16,-148.34898,247.69173,54.91795,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
17,26.65873,248.49051,23.41965,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
18,-169.57452,245.62941,47.08730,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
19,76.15367,248.1083,17.06079,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
20,147.24167,250.8072,43.54649,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
21,139.00067,241.74147,44.56285,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
22,147.24167,247.99411,25.83202,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
23,74.85918,248.79611,59.79863,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
24,-103.95568,249.9773,35.22212,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
25,-65.84363,250.89151,49.39127,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
26,-252.71743,259.43155,4.61248,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
27,-108.82319,319.87405,28.45533,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
28,1.37206,327.20566,13.52604,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
29,105.01590,324.069,31.74472,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
30,205.24167,331.26935,43.87547,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
31,204.24167,329.44412,38.33097,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
32,22.25845,324.66345,50.84407,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
33,57.00580,331.34744,42.22735,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
34,157.60068,331.4028,38.36141,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
35,-283.61213,330.20923,42.85867,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
36,33.89693,336.94922,49.00551,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
37,-163.44712,336.76764,42.43847,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
38,48.81888,327.56277,56.15258,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
39,177.02422,324.49054,55.72897,2025-03-16 12:48:02.256734,DoubleDQN_256_GPU
