,0
0,10
1,7
2,14
3,6
4,7
5,4
6,9
7,4
8,7
9,4
10,7
11,11
12,10
13,10
14,10
15,11
16,5
17,8
18,11
19,12
20,11
21,10
22,8
23,7
24,10
25,7
26,10
27,12
28,10
29,6
30,6
31,6
32,8
33,6
34,4
35,7
36,7
37,8
38,10
39,10
40,10
41,11
42,10
43,4
44,12
45,7
46,9
47,7
48,11
49,8
50,5
51,7
52,3
53,9
54,1
55,1
56,6
57,3
58,1
59,1
60,6
61,1
62,1
63,8
64,1
65,9
66,8
67,7
68,5
69,3
70,8
71,6
72,5
73,4
74,6
75,9
76,10
77,1
78,1
79,2
80,4
81,9
82,4
83,8
84,6
85,8
86,5
87,7
88,6
89,4
90,5
91,8
92,3
93,2
94,3
95,8
96,2
97,3
98,3
99,2
100,9
101,4
102,2
103,2
104,2
105,2
106,3
107,2
108,3
109,2
110,6
111,4
112,1
113,4
114,7
115,4
116,1
117,1
118,3
119,9
120,5
121,8
122,11
123,3
124,10
125,1
126,5
127,1
128,1
129,5
130,6
131,3
132,9
133,3
134,8
135,1
136,4
137,11
138,5
139,7
140,9
141,10
142,1
143,1
144,10
145,1
146,1
147,9
148,11
149,11
150,11
151,11
152,11
153,11
154,7
155,6
156,11
157,10
158,9
159,6
160,10
161,11
162,9
163,5
164,11
165,9
166,11
167,6
168,10
169,10
170,9
171,11
172,10
173,11
174,10
175,8
176,4
177,6
178,1
179,7
180,2
181,8
182,1
183,2
184,6
185,1
186,5
187,2
188,6
189,6
190,8
191,2
192,7
193,3
194,7
195,8
196,6
197,5
198,3
199,6
200,5
201,4
202,4
203,1
204,1
205,1
206,1
207,1
208,3
209,4
210,2
211,5
212,1
213,8
214,5
215,4
216,6
217,1
218,3
219,6
220,6
221,11
222,6
223,9
224,6
225,4
226,1
227,6
228,1
229,1
230,1
231,1
232,1
233,7
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,2
243,4
244,1
245,1
246,1
247,1
248,1
249,1
250,3
251,1
252,1
253,5
254,2
255,9
256,5
257,3
258,1
259,6
260,3
261,1
262,4
263,7
264,1
265,4
266,1
267,1
268,3
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,5
277,1
278,1
279,1
280,2
281,1
282,1
283,1
284,5
285,1
286,1
287,5
288,1
289,7
290,1
291,1
292,1
293,1
294,4
295,3
296,9
297,9
298,3
299,1
300,1
301,9
302,5
303,2
304,1
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,4
318,6
319,3
320,5
321,4
322,6
323,6
324,6
325,5
326,2
327,10
328,4
329,1
330,1
331,3
332,6
333,3
334,6
335,28
336,3
337,24
338,5
339,2
340,7
341,28
342,28
343,9
344,21
345,5
346,2
347,18
348,20
349,6
350,12
351,18
352,21
353,18
354,6
355,11
356,13
357,14
358,13
359,13
360,6
361,5
362,2
363,5
364,4
365,5
366,5
367,13
368,3
369,2
370,3
371,3
372,2
373,3
374,4
375,3
376,4
377,10
378,4
379,9
380,6
381,11
382,11
383,11
384,11
385,11
386,11
387,12
388,14
389,14
390,19
391,11
392,10
393,7
394,8
395,6
396,13
397,16
398,17
399,17
400,6
401,10
402,8
403,9
404,3
405,4
406,1
407,5
408,7
409,1
410,8
411,1
412,7
413,1
414,2
415,2
416,7
417,1
418,5
419,4
420,5
421,1
422,1
423,1
424,1
425,1
426,1
427,5
428,1
429,1
430,1
431,3
432,11
433,1
434,7
435,1
436,4
437,10
438,4
439,5
440,11
441,6
442,6
443,4
444,9
445,9
446,11
447,10
448,8
449,11
450,7
451,11
452,11
453,10
454,9
455,11
456,10
457,9
458,4
459,5
460,11
461,11
462,6
463,8
464,6
465,2
466,9
467,11
468,11
469,11
470,10
471,11
472,11
473,10
474,9
475,5
476,10
477,7
478,1
479,6
480,1
481,9
482,4
483,1
484,1
485,10
486,4
487,10
488,7
489,8
490,1
491,5
492,10
493,6
494,8
495,6
496,10
497,9
498,1
499,5
500,1
501,6
502,1
503,3
504,5
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,3
515,1
516,1
517,9
518,1
519,7
520,1
521,2
522,1
523,1
524,7
525,1
526,6
527,1
528,1
529,3
530,1
531,1
532,5
533,8
534,1
535,4
536,1
537,1
538,7
539,1
540,2
541,1
542,1
543,2
544,7
545,3
546,3
547,7
548,2
549,1
550,1
551,1
552,3
553,1
554,1
555,1
556,1
557,4
558,1
559,3
560,3
561,1
562,1
563,1
564,5
