Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,68.74649,0.113827676,45.55107,2025-04-05 20:50:14.235294,remove_unnecessary_actions
1,-144.67447,6.885816,56.78266,2025-04-05 20:50:14.235294,remove_unnecessary_actions
2,55.54347,209.49937,34.23877,2025-04-05 20:50:14.235294,remove_unnecessary_actions
3,-39.28052,237.77794,40.14902,2025-04-05 20:50:14.235294,remove_unnecessary_actions
4,-257.35346,245.71286,45.09793,2025-04-05 20:50:14.235294,remove_unnecessary_actions
5,-172.63162,278.5522,43.59841,2025-04-05 20:50:14.235294,remove_unnecessary_actions
6,104.76992,281.8041,58.03867,2025-04-05 20:50:14.235294,remove_unnecessary_actions
7,-90.29758,283.52127,57.93391,2025-04-05 20:50:14.235294,remove_unnecessary_actions
8,-168.63075,306.3846,66.81003,2025-04-05 20:50:14.235294,remove_unnecessary_actions
9,103.46020,290.1763,46.79577,2025-04-05 20:50:14.235294,remove_unnecessary_actions
10,-144.74434,324.85202,37.62000,2025-04-05 20:50:14.235294,remove_unnecessary_actions
11,-158.08239,337.13138,65.08261,2025-04-05 20:50:14.235294,remove_unnecessary_actions
12,-254.14122,310.6288,36.63352,2025-04-05 20:50:14.235294,remove_unnecessary_actions
13,-258.66067,302.70258,64.41720,2025-04-05 20:50:14.235294,remove_unnecessary_actions
14,120.60017,282.95612,64.77371,2025-04-05 20:50:14.235294,remove_unnecessary_actions
15,-167.61355,282.97336,64.01137,2025-04-05 20:50:14.235294,remove_unnecessary_actions
16,-180.38218,262.10312,86.75682,2025-04-05 20:50:14.235294,remove_unnecessary_actions
17,-255.75708,255.6236,97.11139,2025-04-05 20:50:14.235294,remove_unnecessary_actions
18,137.95976,247.9555,15.78109,2025-04-05 20:50:14.235294,remove_unnecessary_actions
19,112.08099,265.88748,42.80124,2025-04-05 20:50:14.235294,remove_unnecessary_actions
20,-99.31533,258.77206,39.76940,2025-04-05 20:50:14.235294,remove_unnecessary_actions
21,-178.27080,248.92642,64.98742,2025-04-05 20:50:14.235294,remove_unnecessary_actions
22,-184.20182,257.5321,62.97277,2025-04-05 20:50:14.235294,remove_unnecessary_actions
23,106.22175,246.4616,48.19131,2025-04-05 20:50:14.235294,remove_unnecessary_actions
24,-189.11209,239.14438,67.57140,2025-04-05 20:50:14.235294,remove_unnecessary_actions
