Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-51.21815,-0.08416,30.24902,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
1,-264.68333,-0.08416,-7.39994,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
2,75.53370,-3.20513,44.24354,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
3,-112.35307,-29.38860,35.17000,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
4,-204.69004,-71.24181,35.81762,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
5,176.24167,-76.71904,14.26167,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
6,147.24167,-81.01176,39.43655,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
7,-94.95705,-80.83298,35.95598,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
8,107.24167,-82.61736,33.12620,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
9,-17.81325,-82.26054,22.62509,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
10,100.49885,-83.28532,89.01943,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
11,-98.59342,-80.46355,73.73334,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
12,9.69374,-67.01373,44.04796,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
13,205.24167,-82.11968,29.07315,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
14,205.24167,-77.17460,41.19239,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
15,-164.25822,-82.12902,45.99984,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
16,-163.55267,-70.28593,35.33178,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
17,-87.87145,-83.11538,52.73076,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
18,-226.85714,-77.83235,56.76729,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
19,132.23604,-78.80719,23.38144,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
20,-59.04702,-77.34798,44.04416,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
21,165.24167,-79.87942,59.02965,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
22,-267.65693,-77.35777,59.24687,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
23,87.49167,-78.74467,38.18576,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
24,-219.60149,-74.34306,51.48502,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
25,-110.35418,-77.79740,47.74979,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
26,176.24167,-80.84876,25.34986,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
27,-152.10724,-77.87907,50.43928,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
28,-198.14924,-79.59984,41.68936,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
29,42.65164,-76.06961,50.32269,2025-04-26 13:55:17.028623,DoubleDQN_on_CreditPayerEnv
