Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,124.07586,-0.02728,40.83151,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
1,-14.88350,-0.02728,46.86969,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
2,205.24167,-0.55026,39.35996,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
3,108.37634,-12.88883,52.69139,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
4,30.72585,-41.45938,23.59790,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
5,204.24167,-86.15538,48.01641,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
6,176.24167,-75.05796,42.54796,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
7,-149.90499,-80.55738,51.59000,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
8,147.24167,-82.69608,27.33301,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
9,-184.09868,-81.36698,54.52112,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
10,124.44925,-75.25900,48.60637,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
11,223.29405,-78.74013,37.98571,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
12,-66.41082,-86.08208,24.17678,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
13,205.24167,-86.12250,29.07315,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
14,-213.19577,-81.21194,44.77001,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
15,3.29140,-72.61761,5.60038,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
16,-50.21617,-80.62263,30.92439,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
17,182.33400,-76.55712,83.45207,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
18,147.24167,-79.17593,42.80935,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
19,205.24167,-87.23361,41.76137,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
20,204.24167,-75.85405,71.51417,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
21,10.02809,-84.46392,111.31578,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
22,-51.13763,-80.99149,63.12326,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
23,-62.04573,-83.88063,47.65489,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
24,-249.88532,-76.09608,47.63778,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
25,205.24167,-77.34542,27.17046,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
26,29.96144,-80.70502,51.51197,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
27,205.24167,-76.07241,22.60149,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
28,204.24167,-80.01186,54.86582,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
29,133.16836,-80.98736,49.32461,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
30,-156.49330,-70.17905,38.92557,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
31,-201.54653,-69.42142,26.56552,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
32,-242.97733,-84.44898,42.65966,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
33,-54.68445,-87.23080,42.36452,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
34,176.24167,-78.89922,17.29724,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
35,-233.72892,-84.80770,49.83860,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
36,205.24167,-79.96004,34.00165,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
37,-238.10713,-75.05702,46.77806,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
38,147.24167,-79.92931,30.00083,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
39,-141.00275,-80.87393,26.84610,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
40,205.24167,-75.76848,30.27499,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
41,-162.28235,-84.05780,43.01536,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
42,-245.44653,-74.71231,43.05648,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
43,131.72246,-90.22224,50.58565,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
44,60.91999,-80.07393,82.99652,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
45,161.23293,-77.57020,60.61876,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
46,205.24167,-79.56745,39.04615,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
47,-60.79085,-74.51378,60.43754,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
48,31.55974,-80.29070,48.76845,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
49,96.61305,-83.54713,44.27789,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
50,119.28083,-75.26420,35.36994,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
51,-107.64667,-76.33044,23.16020,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
52,-87.03129,-72.48227,38.35799,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
53,165.24167,-82.04463,33.95136,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
54,74.49278,-81.16772,56.16639,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
55,204.24167,-81.78229,51.63816,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
56,148.12070,-77.66510,30.31381,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
57,-189.16633,-75.10614,4.84212,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
58,26.65873,-75.91590,33.99416,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
59,-164.29802,-72.52262,49.11141,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
60,158.41394,-85.12164,39.91066,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
61,-51.58208,-72.89905,41.81999,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
62,147.24167,-69.66620,28.66197,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
63,-153.56980,-82.45827,53.38522,2025-04-26 14:41:07.124823,DoubleDQN_on_ProductOwnerEnv
