Reward,Win,Sprint,DateTime,ExperimentName
932.82653,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
791.93680,False,63,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1058.49180,True,53,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1096.10160,True,49,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1093.89989,True,51,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
898.50443,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1054.29615,True,53,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1228.43467,True,48,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
981.04079,True,55,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1016.05926,True,53,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
936.03707,False,67,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
927.14227,False,66,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
876.91212,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
896.86973,False,67,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1021.79297,True,53,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1038.81570,True,54,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1012.25007,True,56,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
982.97378,True,58,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1129.05667,True,51,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
994.77564,True,55,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1095.41199,True,50,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
915.37820,False,67,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
920.22314,False,64,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
903.60053,False,64,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1000.85911,True,56,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1189.57077,True,49,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1001.61029,True,55,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
918.14154,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1064.98312,True,52,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
886.75812,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
944.42506,True,63,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
875.48296,False,67,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
832.87216,False,64,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1001.14703,True,54,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
938.33782,True,62,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
905.45934,False,66,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1133.64944,True,49,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
932.16140,False,65,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
984.59042,True,55,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
987.50595,True,56,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
1017.38021,True,53,2025-04-26 13:57:33.593509,DoubleDQN_on_CreditPayerEnv
