Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,107.14480,0.00208,53.80677,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
1,205.24167,0.00208,40.42721,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
2,-17.92139,0.00208,36.88403,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
3,-7.16350,-36.94341,49.68847,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
4,-137.38491,-76.71207,38.45172,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
5,-141.96948,-78.59561,64.02391,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
6,74.74552,-78.00799,41.83039,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
7,70.97652,-82.53497,58.19291,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
8,72.17197,-83.28145,46.00051,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
9,67.22712,-80.62836,56.32708,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
10,98.81157,-81.63751,93.14304,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
11,61.35337,-79.57582,41.88552,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
12,43.54167,-80.21055,27.93431,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
13,89.75247,-80.35060,62.42528,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
14,88.27664,-80.25837,46.73662,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
15,78.43607,-80.12532,58.06482,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
16,72.98181,-80.75452,62.23972,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
17,133.57661,-79.87202,64.10266,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
18,62.05822,-81.47992,41.98242,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
19,70.39797,-79.55243,56.81940,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
20,78.40452,-80.20887,61.69617,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
21,75.92027,-78.89214,57.66157,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
22,76.10012,-79.15258,61.33810,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
23,71.79447,-80.61177,44.92357,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
24,62.70412,-79.17813,57.54669,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
25,72.98047,-76.98486,57.22742,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
26,68.30289,-77.57368,46.12873,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
27,73.62892,-79.28817,44.75010,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
28,89.71507,-79.60758,64.54209,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
29,70.98632,-77.84334,56.90399,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
30,75.36976,-77.73808,58.85536,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
31,71.45470,-78.56603,59.90220,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
32,75.45037,-76.81735,57.58942,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
33,119.09822,-77.88139,79.53469,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
34,73.84560,-78.21158,58.63008,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
35,59.38427,-75.96854,43.36442,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
36,86.51067,-76.51421,74.12843,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
37,71.32847,-77.70634,43.25576,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
38,73.50207,-79.99031,58.58479,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
39,75.34767,-77.25829,59.28439,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
40,73.90467,-75.92349,57.34645,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
41,91.25245,-76.94212,61.29125,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
42,67.82471,-77.33094,58.45241,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
43,67.69702,-78.83008,54.37347,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
44,71.34077,-76.09801,44.85766,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
45,74.35087,-75.50098,60.31209,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
46,75.43798,-76.82798,43.10185,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
47,74.08469,-76.42889,58.66651,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
48,83.17011,-77.73325,46.04662,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
49,73.32378,-76.23591,59.38342,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
50,79.58376,-79.62708,59.50448,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
51,92.97280,-79.03775,46.66846,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
52,69.32472,-79.00934,42.99476,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
53,103.46155,-78.72694,77.63535,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
54,90.58190,-77.80517,32.64576,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
55,92.32697,-76.65756,56.03366,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
56,78.09371,-77.21494,46.74843,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
57,95.99217,-76.86326,90.67282,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
58,83.05635,-78.64397,62.39870,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
59,74.59152,-77.23027,45.64714,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
60,66.05732,-76.15765,57.98510,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
61,60.81252,-79.40662,43.55802,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
62,80.69817,-78.86099,59.68112,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
63,56.57387,-76.82573,56.68514,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
64,115.75646,-78.79047,95.45956,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
65,76.32300,-80.30835,60.56357,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
66,19.78202,-77.32049,8.70129,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
67,57.27647,-80.16079,42.44015,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
68,69.10672,-80.42986,42.67248,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
69,60.33962,-76.01508,55.28743,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
70,57.76892,-79.53965,39.87300,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
71,62.38417,-77.59351,26.40432,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
72,59.32007,-77.18900,55.12470,2025-04-19 14:59:50.327719,SACWithLearnedTemperature_on_CreditPayerEnv
