Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-246.83893,-0.05662,44.17351,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
1,205.24167,-0.05662,31.48793,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
2,4.65999,-0.18330,51.20660,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
3,-51.99534,-39.52225,68.60492,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
4,204.24167,-64.92151,71.51417,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
5,-96.90160,-64.10602,38.15139,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
6,-137.60227,-75.51141,39.96106,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
7,-129.39644,-80.49817,32.68215,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
8,78.07337,-78.52482,45.69949,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
9,75.92508,-79.45332,59.76565,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
10,101.75497,-81.12560,74.49574,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
11,85.18875,-76.40823,47.59784,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
12,72.93347,-80.74486,59.56734,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
13,73.86957,-79.48680,44.78310,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
14,91.77735,-78.96831,47.22907,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
15,78.62740,-79.31659,59.35869,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
16,76.52617,-79.27014,59.44723,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
17,60.88347,-77.92796,56.54678,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
18,84.12647,-81.16952,47.47689,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
19,71.92612,-79.07670,43.02313,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
20,58.84867,-78.30034,55.05271,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
21,100.17448,-80.63377,93.80941,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
22,60.10317,-75.62651,58.26985,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
23,73.81727,-76.88286,41.71239,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
24,93.60287,-78.39123,62.95400,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
25,57.06407,-78.98290,43.41792,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
26,85.80010,-78.50909,46.40786,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
27,62.96687,-79.08768,58.05350,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
28,60.41357,-79.93797,55.28479,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
29,88.90827,-80.85992,62.86758,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
30,81.01830,-79.11240,43.84838,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
31,84.21752,-78.95918,33.58202,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
32,69.78107,-77.94447,45.70541,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
33,67.98647,-76.71394,43.33333,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
34,71.79447,-77.42065,57.04552,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
35,84.08517,-80.79790,88.63483,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
36,69.41201,-78.01562,30.02500,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
37,93.37076,-79.02139,34.90610,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
38,82.28075,-77.98655,45.91863,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
39,70.13407,-77.89755,58.57493,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
40,70.51642,-77.63765,44.75049,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
41,91.49232,-80.26740,47.19541,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
42,57.97907,-79.13560,54.90595,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
43,65.00507,-77.45068,55.98031,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
44,119.82099,-77.51439,119.49061,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
45,121.88092,-78.27912,97.96594,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
46,70.51642,-78.42123,58.61166,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
47,85.18875,-80.79463,46.31237,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
48,98.81157,-78.59895,74.03809,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
49,63.95627,-80.04932,55.81343,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
50,103.84147,-80.36186,113.23112,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
51,72.05796,-78.43625,60.00422,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
52,81.89752,-78.31291,59.86414,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
53,90.95572,-79.46708,61.25278,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
54,106.81973,-78.87508,115.39443,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
55,60.55527,-78.11931,43.50933,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
56,71.79511,-79.21894,58.31060,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
57,93.45098,-79.04969,61.62192,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
58,75.34767,-77.89026,45.35595,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
59,79.25895,-79.09695,60.24153,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
60,63.88637,-78.69245,45.46115,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
61,85.85540,-79.91730,61.87269,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
62,91.67767,-78.73519,61.36293,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
63,84.84374,-79.17480,46.27650,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
64,72.39602,-78.80383,58.13426,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
65,88.30857,-79.99377,62.22701,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
66,69.41201,-79.01115,44.15269,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
67,73.60651,-77.34970,44.73428,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
68,56.80807,-79.18091,54.72704,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
69,71.81217,-78.54579,57.03652,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
70,117.47520,-79.58274,78.19532,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
71,97.87177,-79.33190,73.89379,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
72,85.25570,-83.91281,60.37657,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
73,59.70872,-81.43399,43.41017,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
74,67.56957,-80.23022,57.47297,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
75,67.58127,-79.50285,58.20087,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
76,120.15897,-79.02406,120.82519,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
77,67.98215,-80.53352,59.41958,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
78,101.74835,-80.41596,114.42317,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
79,63.09127,-80.84653,55.70072,2025-04-19 15:52:32.634202,SACWithLearnedTemperature_on_ProductOwnerEnv
