Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-111.24916,0.04997,47.41945,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
1,205.24167,0.04997,39.35996,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
2,-0.84808,0.04997,50.54163,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
3,-12.96221,-40.81433,48.83932,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
4,149.04237,-73.85314,41.75631,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
5,-168.95447,-74.73075,53.65283,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
6,-274.92433,-81.36640,38.46195,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
7,-137.14443,-76.83353,38.30346,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
8,79.85927,-77.11799,44.45494,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
9,101.90697,-79.36604,94.92068,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
10,65.39007,-81.49832,57.92212,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
11,100.57647,-79.34678,91.46090,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
12,75.51923,-78.32691,45.75020,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
13,103.56287,-79.06158,93.39317,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
14,117.30857,-80.04445,97.26832,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
15,83.09687,-79.11507,60.04715,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
16,57.74487,-80.82822,56.84616,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
17,79.18272,-78.68436,60.95605,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
18,90.53284,-79.42866,62.52665,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
19,66.86835,-80.28519,45.93201,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
20,67.98377,-80.95183,58.80761,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
21,59.00387,-79.77071,55.06944,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
22,61.35337,-78.83049,57.34852,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
23,89.27117,-79.57516,32.49415,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
24,94.32482,-77.63348,48.74792,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
25,75.42103,-78.72269,46.40719,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
26,71.74835,-83.57006,46.59491,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
27,89.51182,-79.63134,61.03248,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
28,71.10507,-78.86097,44.82835,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
29,83.81648,-80.72660,61.60427,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
30,63.49247,-80.01536,55.77592,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
31,94.88552,-79.03309,47.65744,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
32,89.49857,-80.77651,89.57688,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
33,76.83692,-79.44226,46.15506,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
34,77.03793,-78.16351,60.66163,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
35,88.30857,-78.01981,48.52350,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
36,86.71282,-79.94661,62.95023,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
37,99.98632,-79.57920,91.35386,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
38,117.37401,-79.09472,79.54465,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
39,60.73427,-78.94510,57.26965,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
40,74.76307,-78.15631,57.49528,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
41,95.69147,-79.09843,75.90625,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
42,64.12282,-79.00485,55.86520,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
43,66.05732,-78.59200,44.18659,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
44,91.33653,-80.50418,46.46098,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
45,70.04652,-80.16958,57.80958,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
46,84.05635,-76.28957,31.84436,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
47,58.35347,-79.59422,41.46064,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
48,121.73371,-79.55429,80.13836,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
49,112.71061,-79.77017,59.98566,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
50,57.91587,-78.01564,55.32357,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
51,113.69882,-78.08082,75.70994,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
52,60.41357,-78.05996,55.28479,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
53,69.81157,-79.45016,56.72361,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
54,67.11287,-79.71111,56.30351,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
55,93.36222,-78.56688,62.92095,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
56,119.38329,-80.12997,97.56599,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
57,94.16825,-81.33347,48.05600,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
58,78.19887,-80.85293,59.68857,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
59,69.10672,-79.83024,57.67971,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
60,111.51906,-79.91502,78.72885,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
61,64.99870,-80.57724,55.33860,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
62,77.36942,-78.14167,59.18811,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
63,103.37307,-81.77494,72.82045,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
64,70.74112,-80.69155,58.17133,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
65,72.27173,-81.26177,58.38324,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
66,68.74807,-80.88655,41.00702,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
67,59.38427,-80.74438,57.07158,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
68,67.33387,-78.41400,56.34954,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
69,93.95794,-79.65096,62.98764,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
70,84.29622,-81.22151,61.67015,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
71,58.06407,-80.58353,56.89629,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
72,76.62038,-79.74461,46.55520,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
73,69.21947,-81.01664,57.70061,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
74,86.30233,-79.12173,46.49443,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
75,75.45037,-80.40813,59.29348,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
76,95.04677,-83.01046,61.87747,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
77,81.73557,-82.92265,47.18133,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
78,91.53826,-83.90298,48.39321,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
79,58.53397,-82.23877,56.96090,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
80,60.02717,-83.47906,55.23271,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
81,94.13089,-83.59135,48.71931,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
82,110.13739,-77.63910,97.13374,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
83,70.32847,-79.92562,72.70738,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
84,68.63682,-79.73005,42.88891,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
85,63.17702,-82.81285,55.72076,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
86,84.53609,-81.39740,60.26676,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
87,73.14762,-82.12687,58.53791,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
88,62.54367,-81.44650,57.53094,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
89,83.94892,-85.58995,46.14779,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
90,69.38376,-85.79934,46.28337,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
91,67.46207,-83.02402,42.72679,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
92,98.90402,-83.50278,92.61233,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
93,92.05146,-82.68125,61.98770,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
94,76.79962,-79.09117,46.56605,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
95,66.64447,-82.01177,42.60852,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
96,80.60777,-84.72219,59.67432,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
97,78.46779,-82.37842,46.77206,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
98,98.21947,-84.52473,77.37146,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
99,79.10558,-84.33784,59.43156,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
100,95.52227,-83.23827,90.59277,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
101,94.88552,-84.22944,46.90571,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
102,76.52617,-84.12933,57.76025,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
103,59.38427,-84.45892,40.79830,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
104,70.50047,-84.84110,42.41852,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
105,57.06407,-89.04773,56.39388,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
106,60.17862,-85.75357,41.72401,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
107,68.58562,-87.40888,57.82860,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
108,95.28732,-86.43575,91.78337,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
109,104.92508,-88.64220,77.81727,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
110,87.58662,-86.06052,47.91509,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
111,57.59417,-85.99197,29.12125,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
112,68.34653,-85.86839,31.61166,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
113,66.64447,-87.93176,58.07153,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
114,63.01807,-87.81181,43.83652,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
115,64.59572,-86.75992,42.34368,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
116,77.12757,-85.81676,42.16974,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
117,60.32107,-88.23001,55.26376,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
118,93.35927,-87.77718,90.23977,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
119,78.54627,-88.22085,44.26844,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
120,74.89314,-85.68659,46.33071,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
121,69.30289,-89.55392,57.93789,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
122,65.39007,-89.27457,42.22722,2025-04-19 13:54:13.999424,SoftActorCritic_on_CreditPayerEnv
