Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-244.68333,0.02024,0.21230,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
1,205.24167,0.02024,31.48793,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
2,204.24167,-0.13046,57.38121,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
3,-7.42231,-8.88954,55.96127,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
4,204.24167,-76.66240,56.36275,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
5,-52.13333,-94.47414,27.83577,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
6,-187.40252,-76.72688,50.41928,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
7,-144.34817,-81.45670,46.36159,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
8,-141.31833,-79.52371,32.59929,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
9,86.76188,-80.93171,62.95134,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
10,77.27624,-79.37449,45.23131,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
11,57.82912,-80.40559,41.40099,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
12,63.32697,-81.00892,42.16305,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
13,56.57387,-82.51943,57.81620,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
14,62.88637,-81.72338,42.57123,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
15,91.14847,-82.02579,89.85689,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
16,72.63097,-80.59175,43.44087,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
17,93.84352,-81.22527,61.69338,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
18,122.24301,-81.35661,99.30851,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
19,74.05372,-81.91131,59.11075,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
20,97.24920,-84.38470,62.20919,2025-04-19 14:32:20.909958,SoftActorCritic_on_ProductOwnerEnv
